name,email,sector,city,phone,website,address,formations,description,url
LEGTA d'Amiens Le Paraclet,Non trouvé,Lycée agricole,Cottenchy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_d_amiens_le_paraclet-6503
LEGTA - LEGTA Hector Serres,Non trouvé,Lycée agricole,Mont-de-Marsan,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_legta_hector_serres-6504
LEGTA d'Auxerre-la Brosse,Non trouvé,Lycée agricole,Auxerre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_d_auxerre_la_brosse-6505
"LPA - LEGTA d'auch, Beaulieu et Lavacant - site de Lavacant",Non trouvé,Lycée agricole,Auch,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-lpa_legta_d_auch_beaulieu_et_lavacant_site_de_lavacant-6506
"LGTA - LEGTA d'auch, Beaulieu et Lavacant - site de Beaulieu",Non trouvé,Lycée agricole,Auch,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-lgta_legta_d_auch_beaulieu_et_lavacant_site_de_beaulieu-6507
LEGTA Louis Pasteur,Non trouvé,Lycée agricole,Lempdes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_louis_pasteur-6508
LEGTA Armand Fallières,Non trouvé,Lycée agricole,Agen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_armand_fallieres-6509
LEGTA - LEGTA Bel Air,Non trouvé,Lycée agricole,La Roche-sur-Yon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_legta_bel_air-6510
LEGTA - LEGTA agro-viticole de Libourne-Montagne,Non trouvé,Lycée agricole,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta_legta_agro_viticole_de_libourne_montagne-6513
LEGTA,Non trouvé,Lycée agricole,Mâcon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-legta-6520
LEAP Gabriel Deshayes,Non trouvé,Lycée agricole,Nantes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-leap_gabriel_deshayes-6521
ESAS - LEAP Val de Sarthe,Non trouvé,Lycée agricole,Le Mans,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-esas_leap_val_de_sarthe-6523
