Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"Faculté des sciences économiques et de gestion - Aix-en-Provence, Université Aix-Marseille II",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"Faculté de sport de Nancy - Antenne d'Epinal, Nancy-Université - Université Henri Poincaré",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"LESLA - Faculté des lettres, sciences du langage et arts, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences économiques et sociales, Université Lille 1",Villeneuve-d'Ascq,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des lettres, Université Picardie Jules Verne Amiens",Amiens,Non trouvé,Non trouvé,Non trouvé,,
"FSESJ - Faculté des sciences économiques sociales et juridiques, Université de Haute Alsace Mulhouse",Colmar,Non trouvé,Non trouvé,Non trouvé,,
"FAC STAPS Lille - Faculté des sciences du sport et de l'éducation physique Lille 2, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"FLSH - Faculté des lettres langues et sciences humaines, Université de Haute Alsace Mulhouse",Mulhouse,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des sciences de l'éducation, Université de Strasbourg",Strasbourg,Non trouvé,Non trouvé,Non trouvé,,
"LESLA - Faculté des lettres, sciences du langage et arts, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des lettres et civilisations, Université Jean Moulin - Lyon 3",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"FLLASH - Faculté des lettres langues arts et sciences humaines, Université de Valenciennes",Lille,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des lettres et sciences humaines, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"Faculté des lettres - Départements Lettres, Histoire, Langues, Histoire de l'Art et Prépas, Institut catholique de Paris",Paris,Non trouvé,Non trouvé,Non trouvé,,
